Sample Time,xECG,ivECG,Error,Error Description,User State,User CM Marker,xECG_filtered,ivECG_filtered
0.464,10.569072,-67.724736,NA,NA,,NA,,
0.468,10.531344,-67.901616,NA,NA,,NA,,
0.472,10.512096,-68.258256,NA,NA,,NA,,
0.476,10.553808,-68.107824,NA,NA,,NA,,
0.48,10.575696,-67.734864,NA,NA,,NA,,
0.484,10.557456,-67.834848,NA,NA,,NA,,
0.488,10.546656,-68.218896,NA,NA,,NA,,
0.492,10.580640,-68.136672,NA,NA,,NA,,
0.496,10.614576,-67.768128,NA,NA,,NA,,
0.5,10.595088,-67.768944,NA,NA,,NA,,
0.504,10.550304,-68.151456,NA,NA,,NA,,
0.508,10.589328,-68.165568,NA,NA,,NA,,
0.512,10.631568,-67.802976,NA,NA,,NA,,
0.516,10.601568,-67.699728,NA,NA,,NA,,
0.52,10.555296,-68.053104,NA,NA,,NA,,
0.524,10.602480,-68.184864,NA,NA,,NA,,
0.528,10.669008,-67.842528,NA,NA,,NA,,
0.532,10.694016,-67.621824,NA,NA,,NA,,
0.536,10.656096,-67.927968,NA,NA,,NA,,
0.54,10.674192,-68.149872,NA,NA,,NA,,
0.544,10.730736,-67.850592,NA,NA,,NA,,
0.548,10.753776,-67.532880,NA,NA,,NA,,
0.552,10.736544,-67.782240,NA,NA,,NA,,
0.556,10.762032,-68.072496,NA,NA,,NA,,
0.56,10.841136,-67.808976,NA,NA,,NA,,
0.564,10.880784,-67.424112,NA,NA,,NA,,
0.568,10.868496,-67.596912,NA,NA,,NA,,
0.572,10.882800,-67.949280,NA,NA,,NA,,
0.576,10.969056,-67.757232,NA,NA,,NA,,
0.58,11.012544,-67.359312,NA,NA,,NA,,
0.584,10.984320,-67.461600,NA,NA,,NA,,
0.588,10.951632,-67.858752,NA,NA,,NA,,
0.592,10.988640,-67.798944,NA,NA,,NA,,
0.596,11.016576,-67.398336,NA,NA,,NA,,
0.6,10.957920,-67.442208,NA,NA,,NA,,
0.604,10.897776,-67.878720,NA,NA,,NA,,
0.608,10.893264,-67.920720,NA,NA,,NA,,
0.612,10.899456,-67.593696,NA,NA,,NA,,
0.616,10.823376,-67.571808,NA,NA,,NA,,
0.62,10.737840,-67.980096,NA,NA,,NA,,
0.624,10.715088,-68.135136,NA,NA,,NA,,
0.628,10.694352,-67.841424,NA,NA,,NA,,
0.632,10.642896,-67.701312,NA,NA,,NA,,
0.636,10.597008,-68.041008,NA,NA,,NA,,
0.64,10.593360,-68.256672,NA,NA,,NA,,
0.644,10.606368,-67.986720,NA,NA,,NA,,
0.648,10.604592,-67.726032,NA,NA,,NA,,
0.652,10.552224,-67.993824,NA,NA,,NA,,
0.656,10.543872,-68.277312,NA,NA,,NA,,
0.66,10.550592,-68.061936,NA,NA,,NA,,
0.664,10.548816,-67.739904,NA,NA,,NA,,
0.668,10.544256,-67.903680,NA,NA,,NA,,
0.672,10.512864,-68.267808,NA,NA,,NA,,
0.676,10.547136,-68.089392,NA,NA,,NA,,
0.68,10.581744,-67.716768,NA,NA,,NA,,
0.684,10.541376,-67.827408,NA,NA,,NA,,
0.688,10.484112,-68.222976,NA,NA,,NA,,
0.692,10.519776,-68.124816,NA,NA,,NA,,
0.696,10.542576,-67.734096,NA,NA,,NA,,
0.7,10.530480,-67.724688,NA,NA,,NA,,
0.704,10.488768,-68.102688,NA,NA,,NA,,
0.708,10.527984,-68.106480,NA,NA,,NA,,
0.712,10.564800,-67.718304,NA,NA,,NA,,
0.716,10.530768,-67.633920,NA,NA,,NA,,
0.72,10.482288,-68.013840,NA,NA,,NA,,
0.724,10.493088,-68.114688,NA,NA,,NA,,
0.728,10.531584,-67.781424,NA,NA,,NA,,
0.732,10.512240,-67.591248,NA,NA,,NA,,
0.736,10.458144,-67.918896,NA,NA,,NA,,
0.74,10.483824,-68.116656,NA,NA,,NA,,
0.744,10.533552,-67.812048,NA,NA,,NA,,
0.748,10.519536,-67.529616,NA,NA,,NA,,
0.752,10.457280,-67.809696,NA,NA,,NA,,
0.756,10.463856,-68.124480,NA,NA,,NA,,
0.76,10.527264,-67.851072,NA,NA,,NA,,
0.764,10.538736,-67.501680,NA,NA,,NA,,
0.768,10.476096,-67.707840,NA,NA,,NA,,
0.772,10.443936,-68.092176,NA,NA,,NA,,
0.776,10.499040,-67.910976,NA,NA,,NA,,
0.78,10.528992,-67.517808,NA,NA,,NA,,
0.784,10.474224,-67.644000,NA,NA,,NA,,
0.788,10.447440,-68.028912,NA,NA,,NA,,
0.792,10.471056,-67.944432,NA,NA,,NA,,
0.796,10.504992,-67.543536,NA,NA,,NA,,
0.8,10.469472,-67.576080,NA,NA,,NA,,
0.804,10.425504,-67.976448,NA,NA,,NA,,
0.808,10.461264,-67.961376,NA,NA,,NA,,
0.812,10.503648,-67.573056,NA,NA,,NA,,
0.816,10.506864,-67.469424,NA,NA,,NA,,
0.82,10.503360,-67.815504,NA,NA,,NA,,
0.824,10.531824,-67.900512,NA,NA,,NA,,
0.828,10.579008,-67.530000,NA,NA,,NA,,
0.832,10.576848,-67.335216,NA,NA,,NA,,
0.836,10.561152,-67.642560,NA,NA,,NA,,
0.84,10.587216,-67.827600,NA,NA,,NA,,
0.844,10.585056,-67.561344,NA,NA,,NA,,
0.848,10.569552,-67.291248,NA,NA,,NA,,
0.852,10.572288,-67.543584,NA,NA,,NA,,
0.856,10.614096,-67.776480,NA,NA,,NA,,
0.86,10.668528,-67.537248,NA,NA,,NA,,
0.864,10.672416,-67.241616,NA,NA,,NA,,
0.868,10.627200,-67.436304,NA,NA,,NA,,
0.872,10.549008,-67.845168,NA,NA,,NA,,
0.876,10.545696,-67.703856,NA,NA,,NA,,
0.88,10.556016,-67.383504,NA,NA,,NA,,
0.884,10.472688,-67.535808,NA,NA,,NA,,
0.888,10.423920,-67.937904,NA,NA,,NA,,
0.892,10.439472,-67.886064,NA,NA,,NA,,
0.896,10.460304,-67.504704,NA,NA,,NA,,
0.9,10.396416,-67.538880,NA,NA,,NA,,
0.904,10.356432,-67.931616,NA,NA,,NA,,
0.908,10.392576,-67.959888,NA,NA,,NA,,
0.912,10.427184,-67.593168,NA,NA,,NA,,
0.916,10.401360,-67.513728,NA,NA,,NA,,
0.92,10.335696,-67.905216,NA,NA,,NA,,
0.924,10.374912,-68.015424,NA,NA,,NA,,
0.928,10.429872,-67.653456,NA,NA,,NA,,
0.932,10.406544,-67.477488,NA,NA,,NA,,
0.936,10.297056,-67.866144,NA,NA,,NA,,
0.94,10.219536,-68.173680,NA,NA,,NA,,
0.944,10.215168,-67.921968,NA,NA,,NA,,
0.948,10.300416,-67.543152,NA,NA,,NA,,
0.952,10.443600,-67.626432,NA,NA,,NA,,
0.956,10.786080,-67.608000,NA,NA,,NA,,
0.96,11.295840,-66.901392,NA,NA,,NA,,
0.964,11.712192,-66.151536,NA,NA,,NA,,
0.968,11.873664,-66.157728,NA,NA,,NA,,
0.972,11.932848,-66.436992,NA,NA,,NA,,
0.976,11.897520,-66.365040,NA,NA,,NA,,
0.98,11.708112,-66.218928,NA,NA,,NA,,
0.984,11.310240,-66.690240,NA,NA,,NA,,
0.988,10.845072,-67.529184,NA,NA,,NA,,
0.992,10.570848,-67.739760,NA,NA,,NA,,
0.996,10.506288,-67.427472,NA,NA,,NA,,
1.0,10.420464,-67.495152,NA,NA,,NA,,
1.004,10.353792,-67.919232,NA,NA,,NA,,
